Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,o1,o2
14.552000045776367,14.460999965667725,0.009999990463256836,5.0,4.0,8.0,13.0,0.005814150066862739,39926.267866161324
0.24000000953674316,0.24000000953674316,0.0,3.0,5.0,4.0,25.0,0.002518160638243716,7826.999636827483
8.946000099182129,8.946000099182129,0.0,3.0,2.0,11.0,1.0,0.012168032914156668,17007.227750190363
3.0959999561309814,3.0959999561309814,0.0,5.0,1.0,9.0,29.0,0.007914162368817056,48207.44274469027
0.5129997730255127,0.5129997730255127,0.0,2.0,7.0,6.0,20.0,0.0036451021933548034,18591.456138362933
0.19499993324279785,0.19499993324279785,0.0,6.0,3.0,3.0,4.0,0.0032790739546402423,9470.771711347707
0.32200002670288086,0.32200002670288086,0.0,2.0,5.0,5.0,26.0,0.0033734654289024513,14400.153333569859
0.5419998168945312,0.5419998168945312,0.0,3.0,4.0,6.0,8.0,0.005071030861669055,10431.477665628927
5.39900016784668,5.39900016784668,0.0,2.0,7.0,10.0,23.0,0.006050098511594667,36137.95920335027
3.446000099182129,3.446000099182129,0.0,6.0,0.0,9.0,19.0,0.009342131930132436,28460.173277570546
0.21599984169006348,0.21599984169006348,0.0,4.0,3.0,4.0,16.0,0.00319008855676453,7918.8108493363925
1.1619999408721924,1.1619999408721924,0.0,3.0,4.0,7.0,23.0,0.0049092029903030085,13959.511295547918
0.23200011253356934,0.23200011253356934,0.0,1.0,5.0,4.0,17.0,0.003210101244509276,5341.089299716459
1.9110000133514404,1.9110000133514404,0.0,6.0,6.0,8.0,7.0,0.00570711161622059,28928.636413111013
0.5439999103546143,0.5439999103546143,0.0,3.0,3.0,6.0,3.0,0.006175015708482044,9739.931594058102
0.16000008583068848,0.16000008583068848,0.0,5.0,6.0,3.0,26.0,0.001875041866199259,16260.743444664542
5.6549999713897705,5.6549999713897705,0.0,4.0,4.0,10.0,18.0,0.006984088845368449,23663.761079956977
1.9629998207092285,1.9629998207092285,0.0,2.0,7.0,8.0,30.0,0.004623263565923968,29282.866326409745
1.0889999866485596,1.0889999866485596,0.0,5.0,3.0,7.0,15.0,0.00561510979411801,33391.862820562135
0.9489998817443848,0.9489998817443848,0.0,3.0,6.0,7.0,1.0,0.005647017885574651,12906.51821081737
0.31100010871887207,0.31100010871887207,0.0,4.0,2.0,5.0,11.0,0.004611200494448273,9231.706752926544
1.0450000762939453,1.0450000762939453,0.0,2.0,8.0,7.0,6.0,0.0047070308050829665,20869.616182996026
5.81000018119812,5.81000018119812,0.0,5.0,6.0,10.0,20.0,0.005911094230343482,61954.52090291473
3.427999973297119,3.427999973297119,0.0,1.0,1.0,9.0,12.0,0.010321100086715563,10344.27635701508
15.243000030517578,15.243000030517578,0.0,4.0,2.0,12.0,3.0,0.01215606975958924,21997.484883357174
0.312000036239624,0.312000036239624,0.0,5.0,7.0,5.0,11.0,0.0030671188434750938,26974.65637197716
5.710999965667725,5.710999965667725,0.0,1.0,8.0,10.0,22.0,0.006066098251759528,18204.484425542592
9.404000043869019,9.404000043869019,0.0,2.0,1.0,11.0,27.0,0.011301302845247533,33212.890581612904
9.36300015449524,9.36300015449524,0.0,4.0,0.0,11.0,9.0,0.01184905916096295,19523.19408522581
15.205000162124634,15.205000162124634,0.0,4.0,1.0,12.0,9.0,0.011798095651417647,22788.963118862306
1.9709999561309814,1.9709999561309814,0.0,3.0,5.0,8.0,25.0,0.005000225794901667,17587.057416517695
1.8489999771118164,1.8489999771118164,0.0,1.0,5.0,8.0,29.0,0.005895340787435447,12995.533487377472
0.20299983024597168,0.20199990272521973,0.0,3.0,5.0,4.0,22.0,0.002587127751001098,7715.84689687226
0.15199995040893555,0.15199995040893555,0.0,1.0,4.0,3.0,17.0,0.0028540695506591987,3814.3423389258965
3.3480000495910645,3.3480000495910645,0.0,1.0,5.0,9.0,17.0,0.006991114217347618,13205.69299540023
0.23600006103515625,0.23600006103515625,0.0,3.0,6.0,4.0,29.0,0.0022571772194491064,8344.115414346143
0.15799999237060547,0.15799999237060547,0.0,6.0,5.0,3.0,25.0,0.0021510506735081814,10860.068505312156
0.2200000286102295,0.21900010108947754,0.0,5.0,6.0,4.0,26.0,0.002259155151821141,22128.085479304584
0.25099992752075195,0.25099992752075195,0.0,5.0,6.0,4.0,26.0,0.002259155151821141,22128.085479304584
0.17100000381469727,0.17100000381469727,0.0,4.0,1.0,3.0,25.0,0.0028790434175260367,5519.508739963634
