Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,o1,o2
10.813999891281128,10.756999969482422,0.0,5.0,4.0,8.0,13.0,0.005814150066862739,39926.267866161324
0.20099997520446777,0.20099997520446777,0.0,3.0,5.0,4.0,25.0,0.002518160638243716,7826.999636827483
7.7230000495910645,7.7230000495910645,0.0,3.0,2.0,11.0,1.0,0.012168032914156668,17007.227750190363
2.759999990463257,2.759999990463257,0.0,5.0,1.0,9.0,29.0,0.007914162368817056,48207.44274469027
0.4809999465942383,0.4809999465942383,0.0,2.0,7.0,6.0,20.0,0.0036451021933548034,18591.456138362933
0.15599989891052246,0.15599989891052246,0.0,6.0,3.0,3.0,4.0,0.0032790739546402423,9470.771711347707
0.2999999523162842,0.2999999523162842,0.0,2.0,5.0,5.0,26.0,0.0033734654289024513,14400.153333569859
0.4479999542236328,0.4479999542236328,0.0,3.0,4.0,6.0,8.0,0.005071030861669055,10431.477665628927
4.775000095367432,4.775000095367432,0.0,2.0,7.0,10.0,23.0,0.006050098511594667,36137.95920335027
2.807000160217285,2.807000160217285,0.0,6.0,0.0,9.0,19.0,0.009342131930132436,28460.173277570546
0.15400004386901855,0.15400004386901855,0.0,4.0,3.0,4.0,16.0,0.00319008855676453,7918.8108493363925
0.8269999027252197,0.8269999027252197,0.0,3.0,4.0,7.0,23.0,0.0049092029903030085,13959.511295547918
0.17100000381469727,0.17100000381469727,0.0,1.0,5.0,4.0,17.0,0.003210101244509276,5341.089299716459
1.5309998989105225,1.5309998989105225,0.0,6.0,6.0,8.0,7.0,0.00570711161622059,28928.636413111013
0.46700000762939453,0.46700000762939453,0.0,3.0,3.0,6.0,3.0,0.006175015708482044,9739.931594058102
0.125,0.125,0.0,5.0,6.0,3.0,26.0,0.001875041866199259,16260.743444664542
4.736000061035156,4.736000061035156,0.0,4.0,4.0,10.0,18.0,0.006984088845368449,23663.761079956977
1.4730000495910645,1.4649999141693115,0.0,2.0,7.0,8.0,30.0,0.004623263565923968,29282.866326409745
0.7970001697540283,0.7970001697540283,0.0,5.0,3.0,7.0,15.0,0.00561510979411801,33391.862820562135
0.8229999542236328,0.8229999542236328,0.0,3.0,6.0,7.0,1.0,0.005647017885574651,12906.51821081737
0.2539999485015869,0.2539999485015869,0.0,4.0,2.0,5.0,11.0,0.004611200494448273,9231.706752926544
0.818000078201294,0.818000078201294,0.0,2.0,8.0,7.0,6.0,0.0047070308050829665,20869.616182996026
4.641000032424927,4.641000032424927,0.0,5.0,6.0,10.0,20.0,0.005911094230343482,61954.52090291473
2.751999855041504,2.751999855041504,0.0,1.0,1.0,9.0,12.0,0.010321100086715563,10344.27635701508
12.372999906539917,12.372999906539917,0.0,4.0,2.0,12.0,3.0,0.01215606975958924,21997.484883357174
0.2390000820159912,0.2390000820159912,0.0,5.0,7.0,5.0,11.0,0.0030671188434750938,26974.65637197716
4.718000173568726,4.718000173568726,0.0,1.0,8.0,10.0,22.0,0.006066098251759528,18204.484425542592
7.716000080108643,7.716000080108643,0.0,2.0,1.0,11.0,27.0,0.011301302845247533,33212.890581612904
7.6499998569488525,7.6499998569488525,0.0,4.0,0.0,11.0,9.0,0.01184905916096295,19523.19408522581
12.54800009727478,12.54800009727478,0.0,4.0,1.0,12.0,9.0,0.011798095651417647,22788.963118862306
0.7910001277923584,0.7910001277923584,0.0,5.0,3.0,7.0,13.0,0.005755090703021108,32834.93137253336
7.809999942779541,7.809999942779541,0.0,4.0,7.0,11.0,9.0,0.006474065260715248,26954.209833914858
0.4440000057220459,0.4440000057220459,0.0,5.0,4.0,6.0,13.0,0.004548058266997027,28913.96743796214
4.733000040054321,4.733000040054321,0.0,6.0,0.0,10.0,19.0,0.010543103385626076,32364.518845211245
2.7230000495910645,2.7150001525878906,0.0,6.0,0.0,9.0,12.0,0.009886096145597614,26219.876444856218
0.45399999618530273,0.45399999618530273,0.0,3.0,4.0,6.0,23.0,0.0041431251489666586,11520.29245671232
