Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,o1,o2
0.17300009727478027,0.17300009727478027,0.0,3,8,3,29,0.0015980456814496888,6638.505328678205
0.18899989128112793,0.18899989128112793,0.0,1,6,3,27,0.002227068476720013,4287.456903324496
0.17200016975402832,0.17200016975402832,0.0,2,8,3,28,0.0017520585035894207,9569.726497708716
0.1809999942779541,0.1809999942779541,0.0,1,8,3,27,0.001898061115981253,4668.384076209662
0.17300009727478027,0.17300009727478027,0.0,1,5,3,17,0.0026230665260339853,3989.691754300075
0.1679999828338623,0.1679999828338623,0.0,1,7,3,27,0.0020540635335841,4475.894281400672
0.2259998321533203,0.2259998321533203,0.0,1,1,3,14,0.003848075103217191,3288.912580157462
0.19000005722045898,0.19000005722045898,0.0,2,8,3,27,0.0017630581385762636,9539.741373124092
0.25,0.24899983406066895,0.0,1,8,3,30,0.0018650621973542866,4713.260693264081
0.21500015258789062,0.21399998664855957,0.0010001659393310547,1,1,3,12,0.003944083797284231,3275.083398593387
0.1790001392364502,0.1790001392364502,0.0,1,6,3,17,0.0024150650094769705,4168.981605974796
0.1809999942779541,0.1809999942779541,0.0,1,0,3,11,0.0043870811480983575,3111.1460665401105
0.20200014114379883,0.20200014114379883,0.0,1,6,3,21,0.002328062713931908,4212.585160467114
0.21199989318847656,0.21199989318847656,0.0,1,6,3,18,0.002391065662000941,4179.369613167514
0.19900012016296387,0.19900012016296387,0.0,1,2,3,12,0.003601076922255341,3436.7918590831237
0.15899991989135742,0.15899991989135742,0.0,1,5,3,12,0.002774073719280005,3945.2967770086875
0.1639997959136963,0.1639997959136963,0.0,1,3,3,12,0.003295075871660621,3602.3969089822517
0.192000150680542,0.192000150680542,0.0,1,6,3,16,0.0024400696711364615,4158.950928714778
0.21599984169006348,0.21599984169006348,0.0,1,3,3,11,0.003337081659174675,3595.3181731454133
0.20000004768371582,0.20000004768371582,0.0,1,6,3,8,0.002691082124350723,4092.7148017425047
0.20000004768371582,0.18400001525878906,0.0,1,3,3,10,0.0033820795377991924,3588.6019150738975
0.18499994277954102,0.18499994277954102,0.0,1,4,3,14,0.0029490720574445106,3787.8255533520787
0.2049999237060547,0.2049999237060547,0.0,3,6,3,28,0.0018850477447534318,6077.405541218133
0.20300006866455078,0.20300006866455078,0.0,1,2,3,11,0.0036480811394485183,3430.038538360469
0.20799994468688965,0.20799994468688965,0.0,1,3,3,7,0.0035310886423311435,3570.710614703443
0.1640000343322754,0.1640000343322754,0.0,1,7,3,29,0.0020290675198228374,4504.307428340726
0.17499995231628418,0.17499995231628418,0.0,1,6,3,28,0.002213061906047818,4300.933152246678
0.16900014877319336,0.16900014877319336,0.0,1,6,3,3,0.0028970842238360967,4065.392504182241
0.19999980926513672,0.19999980926513672,0.0,1,5,3,15,0.002679072040838021,3970.8441472934614
0.192000150680542,0.192000150680542,0.0,1,6,3,23,0.0022900637545710378,4236.348739652579
0.18500018119812012,0.18500018119812012,0.0,1,6,3,12,0.0025530724627397475,4122.591595135993
0.19099998474121094,0.19099998474121094,0.0,1,5,3,9,0.0028850766021026202,3923.239227105014
0.19999980926513672,0.19999980926513672,0.0,1,6,3,19,0.0023690662717619363,4190.1056328456225
0.21600008010864258,0.21600008010864258,0.0,1,4,3,11,0.003059080580828168,3764.486740513532
0.22099995613098145,0.22099995613098145,0.0,3,7,3,28,0.0017400451143576709,6344.512684570346
0.1789999008178711,0.1789999008178711,0.0,1,2,3,8,0.003805089355061192,3411.88511827683
0.15799999237060547,0.15799999237060547,0.0,1,4,3,12,0.0030200756613038685,3771.8985482907765
0.15700006484985352,0.15599989891052246,0.0,1,2,3,12,0.003601076922255341,3436.7918590831237
0.16100001335144043,0.16100001335144043,0.0,1,8,3,29,0.001876061832669702,4698.01915567996
