Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,o1,o2
0.18000006675720215,0.18000006675720215,0.0,1,8,3,14,0.0021230701825422542,4507.825451923135
0.17199993133544922,0.17199993133544922,0.0,1,8,3,26,0.0019110682876339086,4654.006570994668
0.18500018119812012,0.18500018119812012,0.0,1,8,3,25,0.0019240678262472972,4639.933486387514
0.18000006675720215,0.18000006675720215,0.0,1,8,3,9,0.002257071997079402,4463.774409506144
0.182999849319458,0.182999849319458,0.0,1,7,3,14,0.0022990724216518277,4321.95591288985
0.19499993324279785,0.19499993324279785,0.0,1,8,3,28,0.0018870614722366625,4683.057647814903
0.18799996376037598,0.18799996376037598,0.0,1,8,3,16,0.0020780637622556243,4528.460746577901
0.1960000991821289,0.1960000991821289,0.0,1,3,3,28,0.002847064979939868,3758.2350654556244
0.1919999122619629,0.1919999122619629,0.0,1,7,3,17,0.002227068476720013,4352.211893950059
0.19899988174438477,0.19899988174438477,0.0,1,7,3,28,0.0020410639382439735,4489.962822926706
0.22800016403198242,0.22800016403198242,0.0,1,7,3,12,0.0023530696972253076,4303.783002672689
0.2109999656677246,0.2109999656677246,0.0,1,3,3,29,0.00283006537026974,3770.241935265729
0.18400001525878906,0.18400001525878906,0.0,1,7,3,29,0.0020290675198228374,4504.307428340726
0.20000004768371582,0.20000004768371582,0.0,1,7,3,25,0.002082062679171787,4448.616784474834
0.20300006866455078,0.20300006866455078,0.0,1,1,3,13,0.0038950785614670215,3281.8408685449253
0.19299983978271484,0.19299983978271484,0.0,1,2,3,12,0.003601076922255341,3436.7918590831237
0.1960000991821289,0.1960000991821289,0.0,1,3,3,27,0.002866064549168424,3746.45926949291
0.1919999122619629,0.1919999122619629,0.0,1,7,3,27,0.0020540635335841,4475.894281400672
0.1919999122619629,0.1919999122619629,0.0,1,0,3,29,0.003708068095383363,3262.5133025555265
0.20000004768371582,0.20000004768371582,0.0,1,1,3,10,0.004051085410109246,3262.541816787032
0.21599984169006348,0.21599984169006348,0.0,1,7,3,4,0.002626076921950307,4248.796356229562
0.17200016975402832,0.17200016975402832,0.0,1,3,3,18,0.0030810728650909895,3652.0105929804954
0.17499995231628418,0.17499995231628418,0.0,1,8,3,19,0.002018067392333566,4562.383448996366
0.20000004768371582,0.20000004768371582,0.0,1,6,3,30,0.00218706264199268,4328.671713084549
0.18400001525878906,0.18400001525878906,0.0,1,8,3,25,0.0019240678262472972,4639.933486387514
0.16899991035461426,0.16899991035461426,0.0,1,6,3,9,0.0026540755452699534,4099.542817063806
0.20199990272521973,0.20199990272521973,0.0,1,6,3,15,0.0024660689365871343,4149.287020085416
0.1830000877380371,0.1830000877380371,0.0,1,8,3,27,0.001898061115981253,4668.384076209662
0.19700002670288086,0.19700002670288086,0.0,1,8,3,26,0.0019110682876339086,4654.006570994668
0.21899986267089844,0.21899986267089844,0.0,2,8,3,26,0.001775054647046113,9510.361253771713
0.20600008964538574,0.20600008964538574,0.0,1,3,3,28,0.002847064979939868,3758.2350654556244
0.20000004768371582,0.20000004768371582,0.0,1,8,3,24,0.001938064498410721,4626.173400119225
