Total Time(s),Time_o1(s),Time_o2(s),Time_o3(s),var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,o1,o2,o3
56.06000018119812,56.05799984931946,0.0,0.0,0,1,1,1,1,0,2,1,2,1,1,0,1,0,1,1,0,0,1,2,-66.40762463343108,17.88931578122735,38432.42901133333
51.026999950408936,51.02300000190735,0.0,0.0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-66.40762463343108,17.88931578122735,38432.42901133333
56.02499985694885,56.0239999294281,0.0,0.0,2,0,1,0,0,2,0,2,0,2,0,0,1,2,0,0,0,0,0,1,-73.24046920821114,15.339787076543443,49335.96248473614
41.019999980926514,41.01900005340576,0.0,0.0,0,1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-54.22287390029326,16.933561133335207,23439.825316899332
46.019999980926514,46.01900005340576,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,-70.23460410557185,15.381224682631501,45007.735420943194
51.0220000743866,51.0220000743866,0.0,0.0,2,1,0,0,1,0,1,1,1,1,1,0,1,2,2,1,0,0,1,1,-71.48093841642229,16.19522960166996,45573.681430029144
41.020999908447266,41.019999980926514,0.0,0.0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-65.54252199413489,16.7009139813956,40590.19857320524
46.02000021934509,46.01800012588501,0.0,0.0,2,0,1,1,1,0,1,2,0,1,1,1,1,1,1,1,0,0,0,0,-73.12316715542521,13.71213062198892,48430.281943050635
46.02300000190735,46.0220000743866,0.0,0.0,1,1,1,1,1,0,1,1,2,1,1,0,1,0,0,1,1,0,1,2,-64.83870967741935,17.485094965677728,33351.985002771675
46.026000022888184,46.02500009536743,0.0,0.0,0,1,0,1,1,0,2,0,1,0,1,1,1,2,1,1,0,1,1,0,-67.94721407624633,16.950178671440113,42440.65916774146
46.02300000190735,46.02199983596802,0.0,0.0,1,0,1,2,1,1,1,1,2,1,1,1,1,0,1,0,1,0,1,2,-64.57478005865103,17.790907451089264,36789.45356337389
46.02300000190735,46.0220000743866,0.0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,0,-70.11730205278593,17.729564452700075,46181.69018017148
46.019999980926514,46.01900005340576,0.0,0.0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-71.43695014662757,16.348089388104423,44063.53166607658
46.02199983596802,46.02199983596802,0.0,0.0,0,1,1,1,1,0,1,1,2,1,1,0,1,0,0,1,1,0,1,2,-75.2199413489736,12.606739787893115,50368.393265912004
46.02300000190735,46.0220000743866,0.0,0.0,0,1,0,1,1,0,2,1,1,1,0,1,1,2,1,1,0,1,1,1,-65.96774193548387,16.722033220991623,38726.71046068736
41.0220000743866,41.020999908447266,0.0,0.0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-68.31378299120236,16.702262239244156,43842.69198514572
46.0220000743866,46.0220000743866,0.0,0.0,0,1,0,1,1,1,2,1,2,1,1,1,1,1,1,1,0,0,1,1,-69.00293255131963,15.250483763049635,40881.04062912181
46.021000146865845,46.019999980926514,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-70.89442815249267,17.288280532721327,47972.728101868925
46.0220000743866,46.021000146865845,0.0,0.0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,1,1,0,1,1,0,-73.21114369501467,13.820303634317826,46606.11221120501
46.01900005340576,46.01800012588501,0.0,0.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-69.63343108504401,18.003566123212483,42826.72404549796
46.020999908447266,46.019999980926514,0.0,0.0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-73.50439882697948,14.650488771344582,48425.57435917137
46.020999908447266,46.020999908447266,0.0,0.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-71.12903225806453,15.969117019051318,47397.85116187476
46.02300000190735,46.0220000743866,0.0,0.0,0,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1,0,1,2,-69.35483870967742,16.376333074988874,41354.82246216699
46.01799988746643,46.01699995994568,0.0,0.0,0,1,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,0,-70.01466275659826,15.451505119263855,44419.41906522883
46.03099989891052,46.02900004386902,0.0,0.0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-65.4692082111437,18.176060457823425,37551.33720331965
46.021000146865845,46.019999980926514,0.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-71.31964809384165,15.820792874156975,47193.474322472015
46.0239999294281,46.0239999294281,0.0,0.0,1,1,0,1,2,0,2,1,0,1,1,1,1,0,1,1,1,0,1,0,-71.0850439882698,14.00286992436029,45727.66762742198
