Total Time(s),Time_o1(s),Time_o2(s),Time_o3(s),var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,o1,o2,o3
54.75699996948242,54.49500012397766,0.1830000877380371,0.010999917984008789,0,0,1,2,2,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1,-69.29618768328444,15.45567151557123,42722.139161935585
36.01700019836426,36.01700019836426,0.0,0.0,0,0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,0,1,2,0,-69.29618768328444,15.45567151557123,42722.139161935585
46.0220000743866,46.021000146865845,0.0,0.0,0,1,0,2,1,2,2,0,2,1,1,1,1,0,1,1,1,0,1,2,-66.48093841642229,16.5343835912444,35311.27640748113
46.0239999294281,46.0239999294281,0.0,0.0,1,0,0,1,1,0,2,0,2,2,1,0,1,0,0,1,1,0,1,2,-66.93548387096774,16.879474669556547,39305.649563515406
46.019999980926514,46.019999980926514,0.0,0.0,1,0,0,2,1,2,2,1,1,1,0,1,2,0,1,1,1,0,1,2,-61.84750733137829,18.591421033494782,35686.307321068634
41.020999908447266,41.019999980926514,0.0,0.0,1,1,0,2,1,2,2,1,1,1,1,0,2,0,0,1,1,0,1,1,-67.09677419354838,17.34205770648655,41021.62504610112
46.0239999294281,46.0220000743866,0.0,0.0,1,1,0,2,1,2,2,1,2,0,1,1,1,1,1,1,1,0,1,1,-67.40469208211144,17.70973621545311,43254.658928282384
46.019999980926514,46.01899981498718,0.0,0.0,1,1,0,1,1,0,2,0,2,1,1,1,1,0,2,1,0,1,1,2,-71.3782991202346,16.448009754218308,48237.51268209504
41.02900004386902,41.019999980926514,0.0,0.0,1,1,0,0,1,0,2,0,1,2,1,1,1,0,0,1,1,1,1,2,-67.41935483870968,17.788185022177796,42098.8608281784
46.019999980926514,46.019999980926514,0.0,0.0,1,1,0,0,1,0,2,0,2,1,1,1,1,0,0,1,1,2,1,2,-65.63049853372435,16.2965663749905,39678.42427382862
46.0220000743866,46.019999980926514,0.0,0.0,0,0,0,1,1,0,2,1,2,1,1,1,1,0,1,1,0,2,1,0,-65.16129032258064,16.359492317041262,38816.16330715651
41.02199983596802,41.019999980926514,0.0,0.0,1,0,0,0,1,0,2,1,2,1,1,1,1,0,1,1,0,2,1,0,-64.57478005865103,17.685778626750572,34803.585808503645
46.02199983596802,46.020999908447266,0.0009999275207519531,0.0,1,0,0,1,1,0,2,1,1,1,1,1,1,0,1,1,0,1,2,0,-64.38416422287389,17.14463087941856,35814.920199929096
46.01900005340576,46.01799988746643,0.0,0.0,1,0,1,2,2,0,1,1,2,0,1,1,2,1,1,1,1,1,1,1,-66.7741935483871,17.580922246008836,36868.72300391077
41.02799987792969,41.01799988746643,0.0,0.0,0,2,0,0,1,0,2,0,2,1,1,1,1,0,1,1,1,1,1,2,-70.9090909090909,15.113491980549233,45877.619187985954
46.0220000743866,46.01900005340576,0.0,0.0,1,1,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,2,-65.67448680351906,16.015250632485238,36600.37302082017
46.02400016784668,46.02400016784668,0.0,0.0,1,1,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,1,1,2,-65.83577712609971,17.791899634674305,39497.840301018565
41.01899981498718,41.01799988746643,0.0,0.0,1,0,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,0,-66.26099706744868,17.840924729135768,40253.300400068714
46.02199983596802,46.020999908447266,0.0,0.0,1,0,0,1,1,0,2,1,1,1,1,1,1,0,1,1,0,1,1,0,-64.67741935483872,18.850740069910792,37238.475151992316
46.019999980926514,46.01900005340576,0.0,0.0,0,0,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,0,-67.44868035190618,18.032335638365186,39998.19929251917
46.01900005340576,46.01800012588501,0.0,0.0,0,0,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,2,-62.80058651026394,18.45957721127365,33524.52644493822
41.01900005340576,41.01900005340576,0.0,0.0,1,0,0,1,1,0,2,0,2,2,1,1,1,0,1,1,0,1,2,0,-62.14076246334311,17.756604931716776,33841.07268722383
46.0220000743866,46.020999908447266,0.0,0.0,1,1,0,0,1,0,2,0,2,1,1,1,1,0,1,1,1,2,1,1,-64.06158357771261,18.277280025963776,34246.05515214476
46.019999980926514,46.01799988746643,0.0,0.0,1,1,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,1,1,2,-68.10850439882697,16.928475099651493,43549.43164010868
46.02199983596802,46.020999908447266,0.0,0.0,0,0,0,0,1,0,2,0,2,0,1,1,1,0,1,1,0,2,1,2,-68.24046920821114,18.226101045413028,42955.914715697356
46.02199983596802,46.020999908447266,0.0,0.0,0,0,0,1,1,0,2,1,2,1,1,1,1,0,1,1,0,2,1,2,-60.307917888563054,18.309395872645315,32604.26506664521
46.019999980926514,46.019999980926514,0.0,0.0,0,1,0,1,1,0,2,1,2,1,1,1,1,0,1,1,0,2,1,2,-65.98240469208211,17.842326365973516,37822.7463664179
41.01799988746643,41.01799988746643,0.0,0.0,0,1,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,1,1,2,-67.62463343108504,16.890605951430686,39765.565273158536
51.02199983596802,51.02199983596802,0.0,0.0,1,0,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,0,-66.21700879765396,18.085120434712866,39241.96600864326
46.021000146865845,46.019999980926514,0.0,0.0,0,0,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,0,-62.639296187683286,17.969323213714286,34535.860836363674
46.01900005340576,46.01900005340576,0.0,0.0,0,1,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,0,-60.733137829912025,17.272833400833406,30821.91212930957
41.021000146865845,41.021000146865845,0.0,0.0,1,0,0,0,1,0,2,1,2,1,1,1,1,0,1,1,0,2,1,2,-64.44281524926687,17.85218545054786,35467.34535167886
46.02300000190735,46.0220000743866,0.0,0.0,0,1,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,2,-65.79178885630498,17.32238688346969,38834.08075784335
46.019999980926514,46.019999980926514,0.0,0.0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,1,0,1,1,0,-63.856304985337246,17.327246275531696,35783.891593964465
61.026000022888184,61.02499985694885,0.0,0.0,0,0,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,1,-65.51319648093842,17.974863875637606,36284.250585465066
46.01899981498718,46.01899981498718,0.0,0.0,1,1,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,2,-64.86803519061586,19.318463341642936,39562.847560766735
