Total Time(s),Time_o1(s),Time_o2(s),Time_o3(s),var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,o1,o2,o3
85.63700008392334,85.3140001296997,0.23799991607666016,0.013000011444091797,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,-69.16422287390031,18.405800645790297,44663.654162063816
41.02199983596802,41.019999980926514,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,-69.16422287390031,18.405800645790297,44663.654162063816
51.02300000190735,51.02300000190735,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,-68.68035190615835,17.869348187813696,42949.6359405717
76.02999997138977,76.02999997138977,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-66.7448680351906,15.819305113189257,39572.37045514187
46.020999908447266,46.020999908447266,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,-67.60997067448682,15.84562783485046,40228.95365047348
81.03600001335144,81.03500008583069,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-63.25513196480938,17.519541559897107,35720.99815017668
76.02900004386902,76.02799987792969,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,-60.58651026392962,15.997980263941058,29739.42343199661
71.02800011634827,71.02699995040894,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,-69.97067448680352,14.394018225748246,41052.80827006972
46.01900005340576,46.01800012588501,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,-64.61876832844575,15.46040768810425,34147.46486626462
76.02900004386902,76.02900004386902,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,-74.04692082111437,16.029100121885563,51993.385114192875
71.02699995040894,71.02699995040894,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,-64.41348973607037,17.498388988302743,34749.31767648026
