Total Time(s),Time_c1(s),Time_c2(s),Time_c3(s),Time_c4(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,var5,var6,var7,c1,c2,c3,c4,penalty,feasible,o1,o2
1.6089999675750732,0.031000137329101562,0.015000104904174805,0.016000032424926758,0.015000104904174805,-1.0,-1.0,6,1484,166,6,16,0,1,-0.44000000000000006,4.119999999999999,0,0,4.56,FALSE,9223372036854775807,9223372036854775807
489.3809998035431,0.0,0.0,0.0,0.0,0.08099985122680664,488.73800015449524,3,1404,204,2,14,2,3,0,0,0,0,0,TRUE,13906.074006633722,-0.0
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,7,1345,30,8,15,3,0,-1.7000000000000002,8.11,0,0,9.809999999999999,FALSE,9223372036854775807,9223372036854775807
0.2350001335144043,0.0,0.0,0.0,0.0,-1.0,-1.0,6,2134,187,7,2,2,3,0,0,-0.5000000000000001,2.229999999999999,2.729999999999999,FALSE,9223372036854775807,9223372036854775807
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3,1737,84,3,9,1,2,-0.5599999999999999,0,0,0,0.5599999999999999,FALSE,9223372036854775807,9223372036854775807
0.016000032424926758,0.0,0.0,0.0,0.0,-1.0,-1.0,3,1257,74,1,8,2,1,-0.5600000000000002,0,0,0,0.5600000000000002,FALSE,9223372036854775807,9223372036854775807
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2,1568,123,3,10,0,1,-0.27000000000000013,0,0,0,0.27000000000000013,FALSE,9223372036854775807,9223372036854775807
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,6,1760,3,6,0,1,1,-0.4700000000000001,0,-0.6,0,1.07,FALSE,9223372036854775807,9223372036854775807
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,5,2095,71,4,2,2,3,0,0,-0.2000000000000001,0.6799999999999983,0.8799999999999983,FALSE,9223372036854775807,9223372036854775807
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,6,2035,21,0,12,3,1,-1.4900000000000002,0,0,0.5800000000000004,2.0700000000000007,FALSE,9223372036854775807,9223372036854775807
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,5,2181,115,2,11,0,4,-0.45000000000000007,0,0,2.8799999999999977,3.329999999999998,FALSE,9223372036854775807,9223372036854775807
0.016000032424926758,0.0,0.0,0.0,0.0,-1.0,-1.0,7,1789,48,6,6,3,1,-0.6200000000000002,0,0,0,0.6200000000000002,FALSE,9223372036854775807,9223372036854775807
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,4,1064,180,5,4,1,0,0,0,-0.1,0,0.1,FALSE,9223372036854775807,9223372036854775807
