Total Time(s),Time_c1(s),Time_c2(s),Time_c3(s),Time_c4(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,var5,var6,var7,c1,c2,c3,c4,penalty,feasible,o1,o2
528.2560000419617,0.014999866485595703,0.015000104904174805,0.016000032424926758,0.015999794006347656,0.09400010108947754,527.8239998817444,3,1741,143,6,7,2,1,0.32999999999999985,-13.55,0.19999999999999996,-1.7399999999999984,0,TRUE,12875.98680036559,-10.0
558.1419999599457,0.0,0.0,0.0,0.0,0.0,558.1419999599457,4,1656,137,5,7,1,1,0.27,-10.7,0.30000000000000004,-2.650000000000002,0,TRUE,13866.245298445252,-0.0
746.3079998493195,0.0,0.0,0.0,0.0,0.0,746.2919998168945,7,1656,135,6,7,2,1,0.25,-4.699999999999999,0.19999999999999996,-2.6700000000000017,0,TRUE,17182.769200853043,-26.0
612.4690001010895,0.0,0.0,0.0,0.0,0.0,612.4690001010895,5,1655,136,4,8,1,2,0.15999999999999992,-7.890000000000001,0.5,-2.5699999999999967,0,TRUE,14344.699693343387,-0.0
555.5360000133514,0.0,0.0,0.0,0.0,0.0,555.5360000133514,4,1655,136,6,6,1,2,0.3599999999999999,-11.290000000000001,0.10000000000000009,-2.7699999999999996,0,TRUE,13325.36079157254,-0.0
641.9099998474121,0.0,0.0,0.0,0.0,0.014999866485595703,641.8949999809265,5,1655,136,7,7,1,2,0.26,-8.690000000000001,0.09999999999999987,-2.669999999999998,0,TRUE,14845.230375560272,-3.0
628.0420000553131,0.0,0.0,0.0,0.0,0.0,628.0420000553131,5,1655,134,6,7,1,2,0.24,-8.690000000000001,0.19999999999999996,-2.6899999999999977,0,TRUE,14648.47429523013,-0.0
560.4950001239777,0.0,0.0,0.0,0.0,0.0,560.4950001239777,5,1658,136,2,7,3,2,0.26,-8.720000000000002,0.6,-2.639999999999997,0,TRUE,13599.022500708039,-0.0
571.4909999370575,0.0,0.0,0.0,0.0,0.0,571.4909999370575,4,1657,139,5,8,3,2,0.18999999999999995,-10.11,0.40000000000000013,-2.5199999999999996,0,TRUE,13693.305216215005,-26.0
571.1519999504089,0.0,0.0,0.0,0.0,0.0,571.1519999504089,4,1656,139,6,7,1,2,0.29000000000000004,-10.7,0.19999999999999996,-2.629999999999999,0,TRUE,13543.679436184104,-0.0
499.470999956131,0.0,0.0,0.0,0.0,0.0,499.470999956131,3,1660,136,6,6,2,1,0.3599999999999999,-13.14,0.10000000000000009,-2.719999999999999,0,TRUE,12712.247816906916,-9.0
587.039999961853,0.0,0.0,0.0,0.0,0.0,587.039999961853,4,1654,136,7,7,3,2,0.26,-10.68,0.09999999999999987,-2.6799999999999997,0,TRUE,13879.906889232547,-26.0
570.3789999485016,0.0,0.0,0.0,0.0,0.0,570.3789999485016,4,1654,134,6,7,1,2,0.24,-10.68,0.19999999999999996,-2.6999999999999993,0,TRUE,13543.679436184104,-0.0
550.8740000724792,0.0,0.0,0.0,0.0,0.0,550.8740000724792,5,1656,136,1,7,2,2,0.26,-8.7,0.7,-2.66,0,TRUE,12975.62794367073,-0.0
566.8949999809265,0.0,0.0,0.0,0.0,0.0,566.8949999809265,4,1661,135,6,7,2,1,0.25,-10.75,0.19999999999999996,-2.620000000000001,0,TRUE,13952.682400487452,-14.000000000000002
470.27999997138977,0.0,0.0,0.0,0.0,0.0,470.27999997138977,3,1654,135,3,6,2,2,0.34999999999999987,-13.079999999999998,0.40000000000000013,-2.7900000000000027,0,TRUE,11729.2854840332,-0.0
574.585000038147,0.0,0.0,0.0,0.0,0.0,574.585000038147,4,1661,135,6,7,3,2,0.25,-10.75,0.19999999999999996,-2.620000000000001,0,TRUE,13712.274989729081,-26.0
509.04499983787537,0.0,0.0,0.0,0.0,0.0,509.04499983787537,4,1659,136,1,7,2,2,0.26,-10.73,0.7,-2.629999999999999,0,TRUE,12205.402354936585,-0.0
444.2180001735687,0.0,0.0,0.0,0.0,0.0,444.20300006866455,2,1654,135,6,6,1,2,0.34999999999999987,-14.879999999999999,0.10000000000000009,-2.7900000000000027,0,TRUE,11224.93039578627,-0.0
557.5420000553131,0.0,0.0,0.0,0.0,0.0,557.5420000553131,4,1654,139,5,7,1,3,0.29000000000000004,-10.68,0.30000000000000004,-2.650000000000002,0,TRUE,14648.345298445252,-0.0
498.52999997138977,0.0,0.0,0.0,0.0,0.0,498.52999997138977,4,1656,134,1,6,1,2,0.33999999999999986,-11.299999999999999,0.6000000000000001,-2.780000000000001,0,TRUE,12103.619841695428,-0.0
571.710000038147,0.0,0.0,0.0,0.0,0.0,571.710000038147,4,1655,132,6,7,2,3,0.21999999999999997,-10.690000000000001,0.19999999999999996,-2.7099999999999973,0,TRUE,14734.782400487453,-13.0
464.9159998893738,0.0,0.0,0.0,0.0,0.0,464.89999985694885,3,1658,135,1,8,2,3,0.1499999999999999,-12.320000000000002,0.8,-2.549999999999997,0,TRUE,12868.019056310708,-0.0
425.2550001144409,0.0,0.0,0.0,0.0,0.0,425.2550001144409,2,1658,135,2,9,2,3,0.050000000000000044,-14.320000000000002,0.7999999999999999,-2.4499999999999993,0,TRUE,12294.194851601762,-0.0
516.6280000209808,0.0,0.0,0.0,0.0,0.0,516.6280000209808,3,1655,132,6,7,2,3,0.21999999999999997,-12.690000000000001,0.19999999999999996,-2.7099999999999973,0,TRUE,13658.086800365589,-10.0
526.300999879837,0.0,0.0,0.0,0.0,0.0,526.300999879837,5,1657,136,0,7,0,0,0.26,-8.71,0.8,-2.6499999999999986,0,TRUE,13732.339509420506,-0.0
504.5160000324249,0.0,0.0,0.0,0.0,0.0,504.5160000324249,4,1654,139,2,6,1,2,0.3899999999999999,-11.28,0.5000000000000001,-2.7500000000000036,0,TRUE,12411.296845282031,-0.0
552.5699999332428,0.0,0.0,0.0,0.0,0.0,552.5699999332428,4,1660,132,6,6,2,3,0.31999999999999984,-11.340000000000002,0.10000000000000009,-2.759999999999998,0,TRUE,14516.46375587589,-13.0
558.585000038147,0.0,0.0,0.0,0.0,0.0,558.585000038147,5,1659,136,0,9,2,1,0.06000000000000005,-7.130000000000001,1.0,-2.4299999999999997,0,TRUE,13499.328231321217,-0.0
426.039999961853,0.0,0.0,0.0,0.0,0.0,426.039999961853,2,1661,136,3,9,2,2,0.06000000000000005,-14.35,0.7,-2.41,0,TRUE,11128.879829402505,-0.0
627.3480000495911,0.0,0.0,0.0,0.0,0.0,627.3480000495911,5,1652,134,6,7,0,2,0.24,-8.66,0.19999999999999996,-2.719999999999999,0,TRUE,14788.970589850944,-0.0
596.4660000801086,0.0,0.0,0.0,0.0,0.0,596.4660000801086,4,1662,136,7,8,0,2,0.15999999999999992,-10.16,0.19999999999999996,-2.4999999999999964,0,TRUE,14049.009516191898,-0.0
460.02699995040894,0.0,0.0,0.0,0.0,0.0,460.02699995040894,3,1661,136,1,7,2,2,0.26,-12.75,0.7,-2.6099999999999994,0,TRUE,11435.176766202438,-0.0
435.79100012779236,0.0,0.0,0.0,0.0,0.0,435.79100012779236,2,1662,136,6,6,1,2,0.3599999999999999,-14.96,0.10000000000000009,-2.6999999999999993,0,TRUE,11224.93039578627,-0.0
480.88700008392334,0.0,0.0,0.0,0.0,0.0,480.88700008392334,3,1661,139,2,7,2,2,0.29000000000000004,-12.75,0.6,-2.580000000000002,0,TRUE,11660.19467643788,-0.0
496.28200006484985,0.0,0.0,0.0,0.0,0.0,496.28200006484985,4,1660,133,1,6,2,3,0.32999999999999985,-11.340000000000002,0.6000000000000001,-2.75,0,TRUE,13338.290995180883,-0.0
458.9839999675751,0.0,0.0,0.0,0.0,0.0,458.9839999675751,2,1661,139,6,9,1,2,0.09000000000000008,-14.35,0.3999999999999999,-2.3800000000000026,0,TRUE,11534.199925686056,-0.0
497.09100008010864,0.0,0.0,0.0,0.0,0.016000032424926758,497.0750000476837,3,1662,135,6,6,3,4,0.34999999999999987,-13.16,0.10000000000000009,-2.710000000000001,0,TRUE,11880.192258838139,-14.000000000000002
411.58199977874756,0.0,0.0,0.0,0.0,0.0,411.58199977874756,2,1655,132,2,6,2,3,0.31999999999999984,-14.89,0.5000000000000001,-2.8099999999999987,0,TRUE,12031.660069577832,-0.0
465.614000082016,0.0,0.0,0.0,0.0,0.0,465.5989999771118,3,1659,132,1,7,2,3,0.21999999999999997,-12.73,0.7,-2.669999999999998,0,TRUE,12738.676766202438,-0.0
439.88700008392334,0.0,0.0,0.0,0.0,0.0,439.88700008392334,2,1660,137,0,8,2,1,0.16999999999999993,-14.540000000000003,0.9000000000000001,-2.509999999999998,0,TRUE,11100.99091685902,-0.0
515.5429999828339,0.0,0.0,0.0,0.0,0.0,515.5429999828339,4,1655,132,1,9,3,3,0.020000000000000018,-9.490000000000002,0.8999999999999999,-2.509999999999998,0,TRUE,14027.701281874384,-0.0
556.5360000133514,0.0,0.0,0.0,0.0,0.0,556.5209999084473,5,1653,139,1,8,3,3,0.18999999999999995,-7.870000000000001,0.8,-2.5599999999999987,0,TRUE,14709.78857254247,-0.0
761.949000120163,0.0,0.0,0.0,0.0,0.0,761.949000120163,8,1661,140,6,6,0,2,0.3999999999999999,-4.149999999999999,0.10000000000000009,-2.6700000000000017,0,TRUE,17751.015654538383,-0.0
521.9830000400543,0.0,0.0,0.0,0.0,0.0,521.9830000400543,5,1660,139,0,6,1,3,0.3899999999999999,-9.540000000000001,0.7000000000000002,-2.6900000000000013,0,TRUE,13712.241970459108,-0.0
467.0880000591278,0.0,0.0,0.0,0.0,0.0,467.0720000267029,3,1661,133,1,8,2,3,0.1299999999999999,-12.35,0.8,-2.539999999999999,0,TRUE,12868.019056310708,-0.0
517.7150001525879,0.0,0.0,0.0,0.0,0.0,517.7150001525879,5,1662,138,1,5,1,2,0.48,-10.360000000000001,0.5,-2.7799999999999976,0,TRUE,12637.441652705245,-0.0
506.4599997997284,0.0,0.0,0.0,0.0,0.0,506.4599997997284,4,1661,132,1,6,1,2,0.31999999999999984,-11.35,0.6000000000000001,-2.75,0,TRUE,12103.619841695428,-0.0
435.9560000896454,0.0,0.0,0.0,0.0,0.0,435.9560000896454,2,1662,132,6,6,1,1,0.31999999999999984,-14.96,0.10000000000000009,-2.7399999999999984,0,TRUE,11746.33039578627,-0.0
608.6150000095367,0.0,0.0,0.0,0.0,0.0,608.6150000095367,5,1655,143,5,7,3,1,0.32999999999999985,-8.690000000000001,0.30000000000000004,-2.599999999999998,0,TRUE,15118.464997524941,-26.0
532.4029998779297,0.0,0.0,0.0,0.0,0.0,532.3869998455048,5,1662,137,0,7,2,3,0.27,-8.760000000000002,0.8,-2.59,0,TRUE,13852.543214799693,-0.0
457.33300018310547,0.0,0.0,0.0,0.0,0.0,457.33300018310547,3,1660,141,1,7,3,0,0.30999999999999983,-12.740000000000002,0.7,-2.5699999999999967,0,TRUE,12607.03085341721,-0.0
444.3670001029968,0.0,0.0,0.0,0.0,0.0,444.3670001029968,3,1661,138,0,7,0,3,0.28,-12.75,0.8,-2.59,0,TRUE,12567.023705652304,-0.0
489.5069999694824,0.0,0.0,0.0,0.0,0.0,489.5069999694824,5,1662,138,1,4,2,3,0.5800000000000001,-11.160000000000002,0.3999999999999999,-2.879999999999999,0,TRUE,13646.165199370724,-0.0
525.135999917984,0.0,0.0,0.0,0.0,0.0,525.135999917984,5,1662,138,0,7,1,3,0.28,-8.760000000000002,0.8,-2.5799999999999983,0,TRUE,13922.7913621101,-0.0
414.5940001010895,0.0,0.0,0.0,0.0,0.0,414.5940001010895,2,1654,131,1,7,2,2,0.20999999999999996,-14.68,0.7,-2.7300000000000004,0,TRUE,10664.951177468292,-0.0
559.6459999084473,0.0,0.0,0.0,0.0,0.015999794006347656,559.6300001144409,6,1661,132,0,6,3,2,0.31999999999999984,-7.749999999999998,0.7000000000000002,-2.75,0,TRUE,13192.037029709663,-0.0
467.54299998283386,0.0,0.0,0.0,0.0,0.0,467.5270001888275,3,1657,142,1,8,0,2,0.21999999999999975,-12.31,0.8,-2.4899999999999984,0,TRUE,11667.762326082528,-0.0
450.2660000324249,0.0,0.0,0.0,0.0,0.0,450.2660000324249,3,1662,140,1,6,2,2,0.3999999999999999,-13.16,0.6000000000000001,-2.66,0,TRUE,11307.218246385662,-0.0
542.2850000858307,0.0,0.0,0.0,0.0,0.0,542.2690000534058,5,1663,139,1,6,1,2,0.3899999999999999,-9.569999999999999,0.6000000000000001,-2.66,0,TRUE,12848.399802119286,-0.0
515.9059998989105,0.0,0.0,0.0,0.0,0.0,515.9059998989105,3,1650,135,6,7,3,4,0.25,-12.64,0.19999999999999996,-2.7300000000000004,0,TRUE,12043.93124229681,-16.0
467.53700017929077,0.0,0.0,0.0,0.0,0.0,467.53700017929077,3,1660,142,1,7,2,2,0.31999999999999984,-12.740000000000002,0.7,-2.5599999999999987,0,TRUE,11435.176766202438,-0.0
437.8470001220703,0.0,0.0,0.0,0.0,0.0,437.8470001220703,2,1655,143,6,7,2,3,0.32999999999999985,-14.690000000000001,0.19999999999999996,-2.599999999999998,0,TRUE,12581.391200243726,-8.0
568.0659999847412,0.0,0.0,0.0,0.0,0.0,568.0659999847412,5,1660,143,3,6,3,3,0.4299999999999997,-9.540000000000001,0.40000000000000013,-2.6499999999999986,0,TRUE,15046.989323690234,-0.0
500.47900009155273,0.0,0.0,0.0,0.0,0.0,500.47900009155273,3,1662,142,6,6,1,2,0.4199999999999997,-13.16,0.10000000000000009,-2.6400000000000006,0,TRUE,12275.145593679405,-0.0
531.0380001068115,0.0,0.0,0.0,0.0,0.0,531.0380001068115,5,1664,136,1,6,2,3,0.3599999999999999,-9.58,0.6000000000000001,-2.6799999999999997,0,TRUE,14065.863743976104,-0.0
442.24000000953674,0.0,0.0,0.0,0.0,0.0,442.24000000953674,2,1660,143,6,6,3,2,0.4299999999999997,-14.940000000000001,0.10000000000000009,-2.6499999999999986,0,TRUE,11309.22817255876,-10.0
563.1480000019073,0.0,0.0,0.0,0.0,0.0,563.1480000019073,6,1653,130,1,6,1,2,0.2999999999999998,-7.67,0.6000000000000001,-2.8500000000000014,0,TRUE,13593.179762543143,-0.0
592.4800000190735,0.0,0.0,0.0,0.0,0.0,592.4639999866486,6,1653,130,1,7,2,3,0.19999999999999996,-6.670000000000002,0.7,-2.75,0,TRUE,15049.353532404875,-0.0
512.210000038147,0.0,0.0,0.0,0.0,0.0,512.210000038147,4,1651,132,1,9,2,2,0.020000000000000018,-9.450000000000003,0.8999999999999999,-2.549999999999997,0,TRUE,12552.12916558802,-0.0
452.4080002307892,0.0,0.0,0.0,0.0,0.0,452.4080002307892,3,1664,138,1,6,2,2,0.3799999999999999,-13.18,0.6000000000000001,-2.66,0,TRUE,11307.218246385662,-0.0
399.4799997806549,0.0,0.0,0.0,0.0,0.0,399.4799997806549,2,1656,143,1,6,2,1,0.4299999999999997,-14.899999999999999,0.6000000000000001,-2.6900000000000013,0,TRUE,11101.045497590441,-0.0
