Total Time(s),Time_c1(s),Time_c2(s),Time_c3(s),Time_c4(s),Time_o1(s),Time_o2(s),var1,var2,var3,var4,var5,var6,var7,c1,c2,c3,c4,penalty,feasible,o1,o2
604.1620001792908,0.015000104904174805,0.016000032424926758,0.014999866485595703,0.0,0.07799983024597168,603.7760000228882,5,1657,137,3,7,3,1,0.27,-8.71,0.5,-2.6400000000000006,0,TRUE,14487.26134688333,-3.0
529.0629999637604,0.0,0.0,0.0,0.0,0.0,529.0629999637604,5,1202,126,1,6,1,3,0.2599999999999998,-4.959999999999999,0.6000000000000001,-7.4,0,TRUE,14151.899802119286,-0.0
577.1459999084473,0.0,0.0,0.0,0.0,0.0,577.1459999084473,5,1659,137,3,7,3,1,0.27,-8.73,0.5,-2.620000000000001,0,TRUE,14487.26134688333,-3.0
613.2990000247955,0.0,0.0,0.0,0.0,0.0,613.2990000247955,5,1655,139,5,7,1,1,0.29000000000000004,-8.690000000000001,0.30000000000000004,-2.639999999999997,0,TRUE,14921.331623056565,-0.0
577.4260001182556,0.0,0.0,0.0,0.0,0.015000104904174805,577.4110000133514,5,1655,133,3,7,3,1,0.22999999999999998,-8.690000000000001,0.5,-2.6999999999999993,0,TRUE,14487.26134688333,-3.0
581.2939999103546,0.0,0.0,0.0,0.0,0.0,581.2939999103546,5,1661,135,3,7,3,1,0.25,-8.75,0.5,-2.620000000000001,0,TRUE,14487.26134688333,-3.0
589.5839998722076,0.0,0.0,0.0,0.0,0.0,589.5839998722076,5,1661,137,3,9,3,1,0.07000000000000006,-7.15,0.7,-2.400000000000002,0,TRUE,14934.529757141161,-12.0
549.2090001106262,0.0,0.0,0.0,0.0,0.0,549.2090001106262,5,1659,133,1,7,3,1,0.22999999999999998,-8.73,0.7,-2.66,0,TRUE,13712.118089028685,-0.0
548.6779999732971,0.0,0.0,0.0,0.0,0.0,548.6779999732971,6,1657,139,1,5,1,1,0.49,-8.71,0.5,-2.8200000000000003,0,TRUE,13861.429983246293,-0.0
523.0049998760223,0.0,0.0,0.0,0.0,0.0,523.0049998760223,5,1659,133,1,5,3,1,0.42999999999999994,-10.33,0.5,-2.8599999999999994,0,TRUE,13287.895739920017,-0.0
