hypervolume,spacing,onvg
0.2517349811,-1.0,1.0
0.2517349811,-1.0,1.0
0.2935344977,-1.0,1.0
0.3837738963,0.0,2.0
0.405855508,0.09007571811510907,3.0
0.4179443703,0.06865236594263814,3.0
0.4314321851,0.0803948847806091,3.0
0.4314321851,0.0803948847806091,3.0
0.4314321851,0.0803948847806091,3.0
0.4314321851,0.0803948847806091,3.0
0.4314321851,0.0803948847806091,3.0
0.4314321851,0.0803948847806091,3.0
0.4378117918,0.01752423438369621,4.0
0.4556239044,0.017022473979345525,4.0
0.4556239044,0.017022473979345525,4.0
0.4556239044,0.017022473979345525,4.0
0.4556239044,0.017022473979345525,4.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4642785402,0.0816098341463332,5.0
0.4653607171,0.08067130355253853,5.0
0.4653607171,0.08067130355253853,5.0
0.4653607171,0.08067130355253853,5.0
0.4653607171,0.08067130355253853,5.0
0.4653607171,0.08067130355253853,5.0
0.4654027296,0.08477405107749557,6.0
0.4654027296,0.08477405107749557,6.0
0.4654027296,0.08477405107749557,6.0
0.4654027296,0.08477405107749557,6.0
0.4659559207,0.06407419155843536,7.0
0.4666805606,0.030499922906054383,8.0
0.4666805606,0.030499922906054383,8.0
0.4666805606,0.030499922906054383,8.0
0.4667674443,0.02967977547292917,8.0
0.4713445359,0.053126464809813145,6.0
0.4713445359,0.053126464809813145,6.0
0.4713445359,0.053126464809813145,6.0
0.4713445359,0.053126464809813145,6.0
0.4713445359,0.053126464809813145,6.0
0.4713445359,0.053126464809813145,6.0
0.4713445359,0.053126464809813145,6.0
0.4736334453,0.03759906643355823,5.0
0.47901554,0.0377782914485107,6.0
0.4844888484,0.03966864847375905,6.0
0.4848671968,0.03972267182201039,6.0
0.4848671968,0.03972267182201039,6.0
0.5079791731,0.04509503622646826,7.0
0.5079791731,0.04509503622646826,7.0
0.5079791731,0.04509503622646826,7.0
0.5079791731,0.04509503622646826,7.0
0.5079791731,0.04509503622646826,7.0
0.5079791731,0.04509503622646826,7.0
0.5079949086,0.07005991609814965,8.0
0.5079949086,0.07005991609814965,8.0
0.5079949086,0.07005991609814965,8.0
0.5079949086,0.07005991609814965,8.0
0.5080199498,0.06671369298559746,9.0
0.5081894446,0.050681778768939346,10.0
0.5081894446,0.050681778768939346,10.0
0.5081894446,0.050681778768939346,10.0
0.5081894446,0.050681778768939346,10.0
0.5101928506,0.0672417369792583,9.0
0.5117219673,0.050046128035087706,10.0
0.5117219673,0.050046128035087706,10.0
0.5124970709,0.038850035224639305,11.0
0.5124970709,0.038850035224639305,11.0
0.5124970709,0.038850035224639305,11.0
0.5129346229,0.03973376847358935,11.0
0.5129346229,0.03973376847358935,11.0
0.5129346229,0.03973376847358935,11.0
0.5129346229,0.03973376847358935,11.0
0.5129346229,0.03973376847358935,11.0
0.5129346229,0.03973376847358935,11.0
0.5129346229,0.03973376847358935,11.0
0.5132725381,0.03664769479242061,11.0
0.5132725381,0.03664769479242061,11.0
0.5132885997,0.03930523977105553,12.0
0.5132885997,0.03930523977105553,12.0
0.5133944284,0.03744706595447306,13.0
0.5133944284,0.03744706595447306,13.0
0.5134299775,0.03740503212773208,13.0
0.5138902862,0.0353116253181754,14.0
0.5138902862,0.0353116253181754,14.0
0.5139173602,0.03433921210006431,15.0
0.5139943583,0.034046310607918746,16.0
0.5139943583,0.034046310607918746,16.0
0.5141499559,0.03310405129261973,17.0
0.5141499559,0.03310405129261973,17.0
0.5145979377,0.03386421282447958,15.0
0.528175214,0.03449428747902594,16.0
0.528175214,0.03449428747902594,16.0
0.528216354,0.034261099331717816,17.0
0.5282386562,0.03404132956033274,18.0
0.5282386562,0.03404132956033274,18.0
0.5282397174,0.03383528689149491,19.0
0.5291491792,0.032107441352012524,19.0
0.5300126711,0.03030999647030634,20.0
0.5301211196,0.030398064424486122,21.0
0.5301230981,0.02911960830097279,22.0
0.5301230981,0.02911960830097279,22.0
0.530167508,0.02909336824487101,22.0
0.530167508,0.02909336824487101,22.0
0.530167508,0.02909336824487101,22.0
0.530167508,0.02909336824487101,22.0
0.530167508,0.02909336824487101,22.0
0.5348993387,0.02763131009773212,21.0
0.5351091735,0.02526705463480687,22.0
0.5351091735,0.02526705463480687,22.0
0.5351091735,0.02526705463480687,22.0
0.5352469863,0.025503998765261465,21.0
0.5352469863,0.025503998765261465,21.0
0.5352469863,0.025503998765261465,21.0
