hypervolume,spacing,onvg
0.2031141694,-1.0,1.0
0.2420641322,0.0,2.0
0.2420641322,0.0,2.0
0.3421386868,0.0,2.0
0.6456707264,-1.0,1.0
0.6456707264,-1.0,1.0
0.6456707264,-1.0,1.0
0.6636765713,0.0,2.0
0.6636765713,0.0,2.0
0.6636765713,0.0,2.0
0.6636765713,0.0,2.0
0.6636765713,0.0,2.0
0.6649155592,0.007742850383255937,3.0
0.6649155592,0.007742850383255937,3.0
0.6874550352,0.016508971159626403,3.0
0.6973245964,0.0029593255799346594,3.0
0.6973245964,0.0029593255799346594,3.0
0.6973245964,0.0029593255799346594,3.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7390904255,0.028172891415583927,4.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7392829366,0.06304181202363578,5.0
0.7972542803,0.06110417360618274,6.0
0.7972542803,0.06110417360618274,6.0
0.7972542803,0.06110417360618274,6.0
0.7972542803,0.06110417360618274,6.0
0.7972542803,0.06110417360618274,6.0
0.7972542803,0.06110417360618274,6.0
0.7972542803,0.06110417360618274,6.0
0.7972542803,0.06110417360618274,6.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8276015165,0.021683099145903623,5.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8277835162,0.07211896530127361,6.0
0.8283599474,0.06023201574896601,6.0
0.8283599474,0.06023201574896601,6.0
0.8283599474,0.06023201574896601,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8300389727,0.04611897822729382,6.0
0.8301616762,0.06044818767797991,7.0
0.8301616762,0.06044818767797991,7.0
0.8301616762,0.06044818767797991,7.0
0.8326259195,0.06067364204936421,8.0
0.8326259195,0.06067364204936421,8.0
0.8334659831,0.05726026292627165,7.0
0.8375476244,0.0618409318167554,6.0
0.8375476244,0.0618409318167554,6.0
0.8375476244,0.0618409318167554,6.0
0.8420755761,0.07010127381687581,6.0
0.8420755761,0.07010127381687581,6.0
0.8420755761,0.07010127381687581,6.0
0.8420755761,0.07010127381687581,6.0
0.8427639875,0.05545577042674292,7.0
0.8427639875,0.05545577042674292,7.0
0.8456621647,0.06711223888780969,6.0
0.8457102289,0.06688187244891602,6.0
0.8457102289,0.06688187244891602,6.0
0.8457102289,0.06688187244891602,6.0
0.8457102289,0.06688187244891602,6.0
0.8483568957,0.06362408639871454,7.0
0.8483568957,0.06362408639871454,7.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8506639767,0.03794713408398645,8.0
0.8520308815,0.03982821983156576,9.0
0.8520308815,0.03982821983156576,9.0
0.8520308815,0.03982821983156576,9.0
