hypervolume,spacing,onvg
0.6254956354,-1.0,1.0
0.7452288665,0.0,2.0
0.7452288665,0.0,2.0
0.7599970331,0.03520005126068257,3.0
0.7599970331,0.03520005126068257,3.0
0.7599970331,0.03520005126068257,3.0
0.7663974535,0.048953122485533504,3.0
0.7670755655,0.14669786899465015,4.0
0.7670755655,0.14669786899465015,4.0
0.7670755655,0.14669786899465015,4.0
0.7670755655,0.14669786899465015,4.0
0.7744352352,0.05266572775481149,5.0
0.7755043455,0.047204608701670765,6.0
0.7755043455,0.047204608701670765,6.0
0.7755043455,0.047204608701670765,6.0
0.7901340414,0.1223385673706916,4.0
0.7901340414,0.1223385673706916,4.0
0.7901340414,0.1223385673706916,4.0
0.7901340414,0.1223385673706916,4.0
0.7960259309,0.045078431775328526,5.0
0.7993697403,0.02468952182290251,6.0
0.7993697403,0.02468952182290251,6.0
0.7993880505,0.03164306861934771,7.0
0.7993880505,0.03164306861934771,7.0
0.7998572909,0.03384266148627193,8.0
0.7998572909,0.03384266148627193,8.0
0.8238793394,0.10988172020120945,7.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8298131897,0.057452902261767365,8.0
0.8371989684,0.05415769157956243,9.0
0.8371989684,0.05415769157956243,9.0
0.837410934,0.05617725110087523,10.0
0.837410934,0.05617725110087523,10.0
0.8384519432,0.05396309259797592,11.0
0.8384519432,0.05396309259797592,11.0
0.8407744522,0.059161124926452244,9.0
0.8422218455,0.035478528014824165,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8482889955,0.036527898178405405,10.0
0.8495640951,0.0298091909688477,11.0
0.8495640951,0.0298091909688477,11.0
0.8502182597,0.030105766321873895,11.0
0.8502182597,0.030105766321873895,11.0
0.8502182597,0.030105766321873895,11.0
0.8502182597,0.030105766321873895,11.0
0.8502182597,0.030105766321873895,11.0
0.8509460041,0.029037386799766945,11.0
0.8582502771,0.03252001917944988,12.0
0.8582502771,0.03252001917944988,12.0
0.8582502771,0.03252001917944988,12.0
0.8598561465,0.029135191789630605,13.0
0.8598561465,0.029135191789630605,13.0
0.8598561465,0.029135191789630605,13.0
0.8598561465,0.029135191789630605,13.0
0.8621786555,0.031956582473884644,13.0
0.8625411714,0.031030209498915686,11.0
0.8635257667,0.02974358542178106,12.0
0.8635257667,0.02974358542178106,12.0
0.8635257667,0.02974358542178106,12.0
0.8635257667,0.02974358542178106,12.0
0.8635257667,0.02974358542178106,12.0
0.8654372294,0.031148767234073515,11.0
0.8654372294,0.031148767234073515,11.0
0.8675684141,0.03149705194536412,11.0
0.8675684141,0.03149705194536412,11.0
0.8675684141,0.03149705194536412,11.0
0.8675684141,0.03149705194536412,11.0
0.8675684141,0.03149705194536412,11.0
0.8675684141,0.03149705194536412,11.0
0.8675684141,0.03149705194536412,11.0
0.8683897438,0.032908814005172975,11.0
0.8743220682,0.03391274793904828,12.0
0.8743220682,0.03391274793904828,12.0
0.8760767925,0.03247041511315443,13.0
0.8760767925,0.03247041511315443,13.0
0.8760767925,0.03247041511315443,13.0
0.8772488127,0.028419339208854002,14.0
0.8772488127,0.028419339208854002,14.0
0.8772488127,0.028419339208854002,14.0
0.8772488127,0.028419339208854002,14.0
0.8772488127,0.028419339208854002,14.0
0.8775767427,0.028880846920117123,14.0
0.8775767427,0.028880846920117123,14.0
0.8777374653,0.025444305393428387,15.0
0.8777374653,0.025444305393428387,15.0
0.8777374653,0.025444305393428387,15.0
0.8777374653,0.025444305393428387,15.0
0.8777374653,0.025444305393428387,15.0
0.8779258226,0.017652642245722213,16.0
0.8781886498,0.018890705544747016,16.0
0.8781886498,0.018890705544747016,16.0
0.8781886498,0.018890705544747016,16.0
0.8787732188,0.016810713679990773,17.0
0.8788829103,0.015476158632105866,18.0
0.8788829103,0.015476158632105866,18.0
0.8788829103,0.015476158632105866,18.0
0.8791051754,0.015187908603537416,19.0
0.8791051754,0.015187908603537416,19.0
0.8791051754,0.015187908603537416,19.0
0.8791051754,0.015187908603537416,19.0
0.8791051754,0.015187908603537416,19.0
0.8791051754,0.015187908603537416,19.0
0.8793776239,0.012582433549659705,20.0
0.8793776239,0.012582433549659705,20.0
0.8793776239,0.012582433549659705,20.0
0.8793776239,0.012582433549659705,20.0
0.8793776239,0.012582433549659705,20.0
0.8795970068,0.011906301490156364,21.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8806884962,0.014833261496938373,20.0
0.8823967669,0.016893333015556903,19.0
0.8823967669,0.016893333015556903,19.0
0.8823967669,0.016893333015556903,19.0
0.8823967669,0.016893333015556903,19.0
0.8823967669,0.016893333015556903,19.0
0.8824578856,0.016808549809423482,19.0
0.8824578856,0.016808549809423482,19.0
0.8824578856,0.016808549809423482,19.0
0.8824578856,0.016808549809423482,19.0
0.8824578856,0.016808549809423482,19.0
0.8831099309,0.017096751052392337,19.0
0.8831646919,0.017951682304580746,20.0
0.8831646919,0.017951682304580746,20.0
0.8831646919,0.017951682304580746,20.0
0.8831646919,0.017951682304580746,20.0
0.8831646919,0.017951682304580746,20.0
0.8831646919,0.017951682304580746,20.0
0.8836028644,0.017549494777355772,21.0
0.8838315295,0.01831799781962101,19.0
0.8838315295,0.01831799781962101,19.0
0.8838315295,0.01831799781962101,19.0
0.8838315295,0.01831799781962101,19.0
0.8838315295,0.01831799781962101,19.0
0.8838315295,0.01831799781962101,19.0
0.8838315295,0.01831799781962101,19.0
0.8865572013,0.030040595106160833,15.0
0.8865572013,0.030040595106160833,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9016454991,0.03083439088570839,15.0
0.9018477586,0.03048564615679131,14.0
0.9018477586,0.03048564615679131,14.0
0.9018477586,0.03048564615679131,14.0
0.9018477586,0.03048564615679131,14.0
0.9018477586,0.03048564615679131,14.0
0.9018477586,0.03048564615679131,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.901890228,0.030476907806435662,14.0
0.9045399465,0.02732523817285185,14.0
0.9045399465,0.02732523817285185,14.0
0.9045399465,0.02732523817285185,14.0
0.9048750395,0.027568362746304115,13.0
0.9048750395,0.027568362746304115,13.0
0.9048750395,0.027568362746304115,13.0
0.9048750395,0.027568362746304115,13.0
0.9048750395,0.027568362746304115,13.0
