hypervolume,onvg
0.960624697,1.0
0.9836762446,2.0
0.9836762446,2.0
0.9840548756,3.0
0.9869055232,4.0
0.9869249761,5.0
0.9931324069,6.0
0.9931324069,6.0
0.993169518,7.0
0.9932912399,8.0
0.9933056349,9.0
0.9947061586,10.0
0.9947099637,11.0
0.9947104293,12.0
0.9947902027,13.0
0.9948116493,14.0
0.9948729419,15.0
0.9948740141,16.0
0.9948751057,17.0
0.9948751057,17.0
0.9948759649,18.0
0.9949077922,19.0
0.9949077922,19.0
0.9949085811,20.0
0.9949093126,21.0
0.9949117083,22.0
0.9949131398,23.0
0.9949131398,23.0
0.9949141857,24.0
0.9949153202,25.0
0.9949168068,26.0
0.9949176313,27.0
0.9949179202,28.0
0.9949211376,29.0
0.9949426072,30.0
0.994943063,31.0
0.9949434259,32.0
0.9949434259,32.0
0.9949436217,33.0
0.9949575639,34.0
0.9949575639,34.0
0.9949575639,34.0
0.9949575639,34.0
0.9949577664,35.0
0.9949577664,35.0
0.9949602128,36.0
0.9949602128,36.0
0.9949646301,36.0
0.9949646301,36.0
0.9949650744,37.0
0.9949654749,38.0
0.9949654749,38.0
0.9949656462,39.0
0.9949677894,40.0
0.994967952,41.0
0.9949682895,42.0
0.9949693296,43.0
0.9949693296,43.0
0.9949696392,44.0
0.9949696392,44.0
0.9949739828,44.0
0.9949739828,44.0
0.9949743271,45.0
0.9949768523,46.0
0.9949784599,47.0
0.9949784599,47.0
0.9949800988,48.0
0.9949800988,48.0
0.9949800988,48.0
0.9955315963,49.0
0.9955315963,49.0
0.9955324643,50.0
0.9955361681,51.0
0.995751288,52.0
0.995751673,53.0
0.995751673,53.0
0.9957519171,54.0
0.9957520578,55.0
0.9957524541,56.0
0.9957557149,57.0
0.9957558709,58.0
0.9957558709,58.0
0.9957558709,58.0
0.9957580916,56.0
0.995760649,57.0
0.9957657491,58.0
0.9957657491,58.0
0.9957668884,59.0
0.9957670029,60.0
0.995767571,61.0
0.9957678011,62.0
0.9957682356,63.0
0.9957683445,64.0
0.9957683445,64.0
0.9957686121,65.0
0.9957699047,66.0
0.9957699047,66.0
0.9957699047,66.0
0.9957700281,67.0
0.9957762745,67.0
0.99577655,68.0
0.9957765635,69.0
0.9957765635,69.0
0.9957774289,70.0
0.995777624,71.0
0.9957777421,72.0
0.9957777421,72.0
0.9957777421,72.0
0.9957779747,73.0
0.9957779747,73.0
0.9957779747,73.0
0.9957779747,73.0
0.9957792987,74.0
0.9957795166,75.0
0.9957925385,70.0
0.9958020746,71.0
0.9958065147,72.0
0.9958065147,72.0
0.9958065147,72.0
0.9958065147,72.0
0.9958218812,72.0
0.9958218812,72.0
0.995828398,70.0
0.995828398,70.0
0.995828398,70.0
0.995828398,70.0
0.995828398,70.0
0.995828398,70.0
0.9958285105,71.0
0.9958285105,71.0
0.9958285105,71.0
0.9958285528,72.0
0.9958336278,71.0
0.9958336278,71.0
0.9958381552,70.0
0.9958381552,70.0
0.9958472526,71.0
0.9958495801,72.0
0.9958495801,72.0
0.9958546617,67.0
0.9958547712,68.0
0.9958561908,69.0
0.9958561908,69.0
0.9958588316,70.0
0.9958588316,70.0
0.9958588316,70.0
0.9958604953,70.0
0.9958622325,71.0
0.9958637301,71.0
0.9958637301,71.0
0.9958652195,72.0
0.9958652195,72.0
0.9958652195,72.0
0.9958652195,72.0
0.9958652195,72.0
0.9958652195,72.0
0.9958652195,72.0
0.9958652195,72.0
0.9958652195,72.0
0.9958657642,73.0
0.9958657642,73.0
0.9958657642,73.0
0.9958657642,73.0
0.9958657642,73.0
0.9958662019,74.0
0.9958662019,74.0
0.9958662019,74.0
0.9958701618,70.0
0.9958701618,70.0
0.9958701618,70.0
0.9958701618,70.0
0.9958702823,71.0
0.9958702823,71.0
0.9958702823,71.0
0.9958707095,72.0
0.9958707095,72.0
0.9958707095,72.0
0.9958707095,72.0
0.9958707095,72.0
0.9958707095,72.0
0.9958746026,73.0
0.9958746026,73.0
0.9958785396,74.0
0.9958787731,75.0
0.9958788913,76.0
0.9958794498,77.0
0.9958794498,77.0
0.9958809163,78.0
0.9958809163,78.0
0.9958809163,78.0
0.9958809163,78.0
0.9958809163,78.0
0.995881716,78.0
0.995881716,78.0
0.995881854,79.0
0.995881854,79.0
0.995881854,79.0
0.9959472213,80.0
0.9959472213,80.0
0.9959472213,80.0
0.9959472213,80.0
0.9959476578,81.0
0.9959476578,81.0
0.9959476578,81.0
0.9959488186,82.0
0.9959488186,82.0
0.995948974,83.0
0.995948974,83.0
0.9959509542,84.0
0.9959514961,85.0
0.9959514961,85.0
0.9959514961,85.0
0.9959514961,85.0
0.9959514961,85.0
